T_UPDATE,CALLSIGN,OPERATOR,TYPE_OF_TRANSPONDER,T0,ICAO_ACTYPE,ADEP,DEST,TAS,RFL
26-8-2019 06:50:07,KLM60C,KLM,L,26-8-2019 02:41:00,B738,LGAV,EHAM,456,360.0
26-8-2019 06:50:07,KLM42F,KLM,L,26-8-2019 02:42:01,E75L,ENAL,EHAM,428,260.0
26-8-2019 06:50:06,WZZ875,WZZ,L,26-8-2019 02:42:01,A321,LROP,EHEH,400,340.0
26-8-2019 07:20:08,KLM68T,KLM,S,26-8-2019 02:44:01,E195,EIDW,EHAM,425,350.0
26-8-2019 06:35:07,RYR92UF,RYR,S,26-8-2019 02:44:01,B738,LEGE,EHEH,445,380.0
26-8-2019 07:20:09,KLM282,KLM,L,26-8-2019 02:45:00,B744,KSFO,EHAM,516,330.0
26-8-2019 06:50:07,BAW423,BAW,L,26-8-2019 02:45:01,A319,EHAM,EGLL,365,240.0
26-8-2019 07:05:09,KLM1058,KLM,L,26-8-2019 02:45:01,E75L,EGFF,EHAM,450,290.0
26-8-2019 07:05:08,EJU36PD,EJU,L,26-8-2019 02:45:01,A319,EDDB,EHAM,416,300.0
26-8-2019 06:50:08,DAL56,DAL,L,26-8-2019 02:45:34,B763,KSLC,EHAM,460,320.0
26-8-2019 06:50:07,BEL51J,BEL,H,26-8-2019 02:46:01,A319,ENGM,EBBR,451,330.0
26-8-2019 06:50:07,KLM22A,KLM,L,26-8-2019 02:46:01,B738,LEMD,EHAM,447,340.0
26-8-2019 06:50:06,KLM24H,KLM,L,26-8-2019 02:46:01,E190,LFMN,EHAM,451,380.0
26-8-2019 07:20:08,KLM64J,KLM,L,26-8-2019 02:47:01,B738,EGPH,EHAM,450,390.0
26-8-2019 07:05:08,BEL27H,BEL,H,26-8-2019 02:47:01,A319,ESGG,EBBR,453,330.0
26-8-2019 07:05:08,AWC371Y,AWC,L,26-8-2019 02:47:01,B752,EGSS,EHEH,450,190.0
26-8-2019 07:05:07,KLM28Q,KLM,L,26-8-2019 02:47:01,B738,LHBP,EHAM,451,380.0
26-8-2019 07:05:08,KLM18S,KLM,L,26-8-2019 02:48:01,B738,LEBL,EHAM,452,380.0
26-8-2019 07:20:08,CSA616,CSA,L,26-8-2019 02:49:01,B738,LKPR,EHAM,447,320.0
26-8-2019 07:20:08,KLM32W,KLM,L,26-8-2019 02:50:01,B738,EGPD,EHAM,451,390.0
26-8-2019 06:35:09,TRA243C,TRA,L,26-8-2019 02:50:01,B737,EHRD,LPPT,424,330.0
26-8-2019 07:05:08,TFL619,TFL,H,26-8-2019 02:50:01,B738,EHAM,LEPA,442,360.0
26-8-2019 07:20:07,KLM1153,KLM,L,26-8-2019 02:50:01,E75L,EHAM,ESGG,393,310.0
26-8-2019 07:05:08,KLM35Q,KLM,L,26-8-2019 02:50:01,E75L,EHAM,LFLL,416,330.0
26-8-2019 07:05:08,KLM98N,KLM,H,26-8-2019 02:50:01,E190,LIRQ,EHAM,452,380.0
26-8-2019 07:05:07,KLM50G,KLM,H,26-8-2019 02:50:01,E190,LSZH,EHAM,369,180.0
26-8-2019 06:50:07,EJU76NB,EJU,L,26-8-2019 02:50:01,A320,EHAM,LSZH,429,330.0
26-8-2019 08:05:08,KLM1046,KLM,L,26-8-2019 02:51:01,E190,EGGD,EHAM,460,290.0
26-8-2019 07:20:08,KLM78E,KLM,H,26-8-2019 02:51:01,E190,EGNM,EHAM,460,290.0
26-8-2019 07:20:08,KLM1992,KLM,H,26-8-2019 02:51:01,E190,EPKK,EHAM,450,280.0
26-8-2019 07:20:09,KLM1000,KLM,L,26-8-2019 02:53:00,B738,EGLL,EHAM,450,230.0
