icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
SPZH,,Pachiza Airport,Pachiza,San Martin,PE,1102,-7.299280167,-76.77459717,America/Lima,
SPZO,CUZ,Alejandro Velasco Astete International Airport,Cusco,Cusco,PE,10860,-13.53569984,-71.938797,America/Lima,
SPZT,,Chazuta Airport,Chazuta,San Martin,PE,757,-6.574166775,-76.13666534,America/Lima,
SSAB,,Ibaiti Airport,Ibaiti,Paraná,BR,1968,-23.7621994,-50.26300049,America/Sao_Paulo,
SSAD,,Fazenda Ribeirao Airport,Chapadao Do Sul,Mato-Grosso-do-Sul,BR,2736,-18.76399994,-52.91759872,America/Campo_Grande,
SSAE,,Arroio Grande Airport,Arroio Grande,Rio Grande do Sul,BR,161,-32.22416687,-53.0672226,America/Sao_Paulo,
SSAF,,Aeroclube de Foz do Iguacu Airport,Santa Terezinha De Itaipu,Paraná,BR,840,-25.36944389,-54.47055435,America/Sao_Paulo,
SSAG,,Fazenda Agropecuaria Lobo Ltda Airport,Agua Clara,Mato-Grosso-do-Sul,BR,1410,-19.71666718,-52.72555542,America/Campo_Grande,
SSAJ,,Fazenda Esperanca Airport,Bataipora,Mato-Grosso-do-Sul,BR,1109,-22.27555656,-53.31194305,America/Campo_Grande,
SSAK,,Aeroclube Airport,Cruz Alta,Rio Grande do Sul,BR,1542,-28.65777779,-53.61055756,America/Sao_Paulo,
SSAM,,Amambai Airport,Amambai,Mato-Grosso-do-Sul,BR,1542,-23.1427784,-55.20777893,America/Campo_Grande,
SSAN,,Andira Airport,Andira,Paraná,BR,1608,-23.02729988,-50.22750092,America/Sao_Paulo,
SSAP,APU,Apucarana Airport,Apucarana,Paraná,BR,2641,-23.60950089,-51.3844986,America/Sao_Paulo,
SSAQ,,Aeroclube Airport,Passo Fundo,Rio Grande do Sul,BR,1969,-28.25060081,-52.51670074,America/Sao_Paulo,
SSAR,,Fazenda Jacare Airport,Campo Grande,Mato-Grosso-do-Sul,BR,1214,-21.50305557,-53.96749878,America/Campo_Grande,
SSAU,,Centeno Airport,Tapes,Rio Grande do Sul,BR,14,-30.74749947,-51.42889023,America/Sao_Paulo,
SSAV,,Fazenda Amonguija Airport,Porto Murtinho,Mato-Grosso-do-Sul,BR,400,-21.69083214,-57.47416687,America/Campo_Grande,
SSAW,,Fazenda Japecanga Airport,Ribas Do Rio Pardo,Mato-Grosso-do-Sul,BR,1493,-20.80527878,-54.07805634,America/Campo_Grande,
SSAY,,Sitio Pouso do Aviador Airport,Campo Grande,Mato-Grosso-do-Sul,BR,1946,-20.4885006,-54.48289871,America/Campo_Grande,
SSBA,,Fazenda Bela Vista Airport,Camapua,Mato-Grosso-do-Sul,BR,2017,-19.03194427,-53.67111206,America/Campo_Grande,
SSBB,,Estrela Dalva Airport,Bodoquena,Mato-Grosso-do-Sul,BR,1207,-20.67499924,-56.62969971,America/Campo_Grande,
SSBC,,Malibu Confinamento - MC Airport,Castilho,São Paulo,BR,1115,-20.72611046,-51.5886116,America/Sao_Paulo,
SSBD,,Sobradinho Airport,Sobradinho,Rio Grande do Sul,BR,1444,-29.39638901,-52.9916687,America/Sao_Paulo,
